Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,Metal
10/9/2020,BK012,3115,-0.34,-0.21,-0.61,-0.43,0.09,0.09,102.6,230
10/6/2020,BK012,3116,-0.3,-0.21,-0.57,-0.46,0.08,0.14,102.76,270
10/16/2020,BK012,3117,-0.3,-0.22,-0.58,-1.11,0.09,0.13,107.31,260
10/16/2020,BK012,3118,-0.19,-0.17,-0.46,-0.82,0.08,0.18,105.27,270
10/10/2020,BK012,3165,-0.33,-0.18,-0.6,-0.86,0.08,0.22,105.49,280
10/14/2020,BK012,3166,-0.03,-0.1,-0.2,-0.76,0.07,0.05,104.98,250
10/16/2020,BK012,3167,-0.18,-0.16,-0.42,0.14,-0.03,0.29,98.91,230
10/11/2020,BK012,3168,-0.29,-0.19,-0.57,-0.76,0.08,0.15,104.86,240
10/28/2020,BK012,3899,-0.15,-0.1,-0.31,-0.44,0.05,-0.11,102.86,230
10/29/2020,BK012,3900,-0.16,-0.18,-0.32,-0.22,0.05,0.15,101.26,250
10/30/2020,BK012,4033,-0.15,-0.17,-0.38,0.05,0.02,-0.02,99.64,250
11/2/2020,BK012,4034,-0.12,-0.11,-0.28,-0.06,0.02,-0.07,100.38,240
11/3/2020,BK012,4035,-0.17,-0.14,-0.36,0.17,0.01,-0.01,98.93,250
11/1/2020,BK012,4036,-0.08,-0.12,-0.29,-0.23,0.02,0.11,101.39,240
10/21/2020,BK012,4135,-0.13,-0.09,-0.28,0.06,0.01,-0.08,99.6,220
10/21/2020,BK012,4136,-0.14,-0.1,-0.29,0.05,0.02,-0.04,99.59,220
11/3/2020,BK012,4341,-0.14,-0.09,-0.24,0.02,0.02,0.14,99.81,220
11/4/2020,BK012,4342,-0.14,-0.12,-0.3,-0.21,0.05,0.11,101.26,230
11/5/2020,BK012,4343,-0.19,-0.16,-0.32,-0.17,0.06,0.21,100.96,240
11/5/2020,BK012,4344,-0.19,-0.19,-0.41,-0.37,0.06,0.07,102.33,230
10/25/2020,BK012,4385,-0.08,-0.07,-0.4,-0.86,0.11,-0.08,105.38,180
10/25/2020,BK012,4387,0.06,-0.05,-0.19,0.35,0.27,0.37,96.74,200
10/27/2020,BK012,4388,-0.08,-0.03,-0.21,0.01,0.17,-0.02,99.41,200
10/27/2020,BK012,4391,-0.23,-0.09,-0.31,-0.66,0.02,-0.12,104.41,220
10/27/2020,BK012,4393,-0.18,-0.05,-0.32,-0.1,0.04,-0.06,100.51,240
11/6/2020,BK012,4492,-0.03,-0.1,-0.22,-0.53,0.04,0.03,103.53,210
11/7/2020,BK012,4493,-0.13,-0.16,-0.34,-0.44,0.07,0.21,102.63,220
11/6/2020,BK012,4494,-0.17,-0.11,-0.38,-0.39,0.02,0.03,102.51,230
11/14/2020,BK012,4495,0.01,-0.01,0,0.09,0,-0.03,99,190
11/14/2020,BK012,4657,-0.09,-0.16,-0.33,-0.18,0.05,0.07,101,210
11/14/2020,BK012,4658,-0.13,-0.12,-0.31,-0.35,0.05,-0.03,102,220
11/14/2020,BK012,4659,-0.08,-0.15,-0.3,-0.27,0.05,0.02,102,190
11/17/2020,BK012,4660,-0.01,-0.08,-0.1,0.05,0,-0.17,99.84,200
11/10/2020,BK012,5587,-0.32,-0.19,-0.53,-0.37,0.07,0.11,102.22,250
11/10/2020,BK012,5588,-0.21,-0.1,-0.38,-0.6,0.07,0.05,103.77,250
11/11/2020,BK012,5589,-0.24,-0.18,-0.46,-0.57,0.08,0.13,103.6,250
11/21/2020,BK012,5979,-0.33,0.04,-0.09,0.19,0,-0.16,98.47,190
11/22/2020,BK012,5980,-0.3,0.03,-0.08,0.34,0.01,-0.16,97.65,170
11/24/2020,BK012,6043,-0.32,0.06,-0.11,0.52,0,-0.2,96.46,170
11/21/2020,BK012,6340,-0.17,-0.09,-0.32,-0.73,0.03,-0.2,104.89,200
11/21/2020,BK012,6341,-0.18,-0.11,-0.31,-0.19,0.03,-0.03,101.13,200
11/21/2020,BK012,6343,-0.13,-0.12,-0.25,0.18,0.02,0.06,98.7,220
11/22/2020,BK012,6345,-0.13,-0.16,-0.35,-0.11,0.06,0.08,100.54,200
1/10/2021,BK012,8902,-0.17,-0.02,-0.03,-0.15,0.02,-0.14,100.91,220
1/12/2021,BK012,8905,-0.11,0.04,0.03,-0.27,0.06,-0.1,101.54,210
1/12/2021,BK012,8908,-0.06,0.05,0.03,-0.11,0.04,-0.17,100.53,210
1/12/2021,BK012,8909,0.01,-0.02,-0.14,-0.14,0.06,-0.05,100.7,200
1/13/2021,BK012,8910,0.03,-0.04,-0.21,-0.58,0.07,-0.15,103.77,210
1/19/2021,BK012,9258,-0.07,-0.06,-0.14,1.09,0.05,0.33,92.7,220
2/10/2021,BK012,10285,-0.02,-0.09,-0.2,0.73,0,-0.05,95.34,230
2/9/2021,BK012,10286,-0.11,-0.15,-0.31,0.67,0.01,-0.03,95.7,210
2/10/2021,BK012,10287,-0.07,-0.05,-0.15,0.45,0.02,0,97.09,190
2/24/2021,BK012,10288,-0.08,-0.06,-0.14,0.53,-0.02,-0.09,96.68,210
2/14/2021,BK012,10432,-0.06,-0.13,-0.27,-0.48,0.06,-0.24,103.29,190
2/18/2021,BK012,10433,-0.08,-0.11,-0.19,0.02,0.01,-0.08,99.95,190
2/18/2021,BK012,10434,-0.15,-0.16,-0.38,-0.09,0.01,-0.19,100.77,210
2/18/2021,BK012,10435,-0.08,-0.03,-0.13,-0.45,0,-0.28,103.17,150
2/20/2021,BK012,10436,0.01,-0.04,-0.08,0.38,0.01,-0.1,97.58,170
2/20/2021,BK012,10813,-0.01,-0.03,-0.08,0.86,-0.04,-0.1,94.63,180
2/20/2021,BK012,10814,0.05,-0.1,-0.15,0.49,0.02,0.04,96.83,190
2/20/2021,BK012,10815,0,-0.09,-0.15,0.48,0.05,-0.02,97,210
2/9/2021,BK012,10816,-0.06,-0.11,-0.2,-0.27,0.06,-0.01,101.73,190
2/25/2021,BK012,10991,0.03,-0.13,-0.22,0.6,-0.1,-0.1,96,220
2/27/2021,BK012,10992,-0.07,-0.06,-0.1,-0.17,0.06,0.04,100.92,160
2/28/2021,BK012,10993,-0.1,-0.15,-0.29,0.01,0.01,-0.06,99.98,180
2/19/2021,BK012,11262,-0.02,-0.15,-0.27,-0.21,0.07,0,101.25,240
2/28/2021,BK012,11674,-0.13,-0.18,-0.42,-0.1,0.1,0.18,100.28,230
2/25/2021,BK012,11694,0.08,-0.14,-0.28,-0.22,0.04,0.02,101,240
2/25/2021,BK012,11749,-0.03,-0.2,-0.44,-0.07,0.02,-0.02,100.4,230
3/24/2021,BK012,12245,-0.2,-0.04,-0.2,0.24,0.07,-0.03,98.18,200
3/23/2021,BK012,12246,-0.02,-0.08,-0.3,-0.41,0.06,0,102.65,200
3/24/2021,BK012,12247,-0.25,-0.08,-0.3,-0.28,0.05,-0.02,101.7,210
3/24/2021,BK012,12248,-0.24,-0.06,-0.26,-0.01,0.05,-0.04,99.9,200
