Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
10/27/2020,BL008,4010,-0.12,-1.74,1.87,-0.4,-0.14,0.02,103.98
10/31/2020,BL008,4362,0.4,-0.6,0.1,-0.1,-0.1,0,101
10/30/2020,BL008,4363,0.14,1.15,-1.32,-0.11,0.08,-0.3,101.04
10/31/2020,BL008,4664,0.1,-0.3,0.4,-0.3,0.1,-0.2,103
11/4/2020,BL008,4758,0.26,-0.33,-0.08,-0.36,-0.07,-0.34,103.64
11/5/2020,BL008,4759,0.28,1.1,-1.53,-0.2,0.07,-0.51,102.05
11/8/2020,BL008,5017,0.17,1.24,-1.52,-0.16,0.08,-0.42,101.63
11/9/2020,BL008,5018,0.12,0.73,-0.86,-0.43,0.04,-0.74,104.43
11/10/2020,BL008,5019,0.17,-1.3,1.02,-0.42,-0.17,-0.27,104.36
11/11/2020,BL008,5020,0.06,0.55,-0.59,-0.36,0.03,-0.65,103.71
11/4/2020,BL008,5125,0.05,-0.61,0.59,-0.25,-0.02,-0.24,102.7
11/5/2020,BL008,5126,0.03,0.49,-0.58,-0.12,0.06,-0.24,101.33
11/5/2020,BL008,5127,0.21,0.56,-0.97,-0.15,0.07,-0.32,101.73
11/13/2020,BL008,5231,0.22,-0.21,-0.53,0.03,-0.02,0.18,99.72
11/16/2020,BL008,5232,0.49,1.19,-2.41,0.21,0.05,0.09,97.96
11/16/2020,BL008,5456,-0.03,0.53,-0.33,-0.29,0.09,-0.55,103
11/16/2020,BL008,5457,0.23,1.15,-1.4,-0.03,0.13,-0.22,100.31
11/12/2020,BL008,5661,0.19,0.51,-0.76,-0.21,0.02,-0.32,102.23
11/12/2020,BL008,5662,0.15,-0.5,0.38,-0.34,-0.04,-0.32,103.5
11/19/2020,BL008,5746,0.33,0.47,-0.95,-0.18,-0.01,-0.32,101.92
11/21/2020,BL008,6211,-0.18,-0.06,0.52,-0.35,0.05,-0.5,104
11/21/2020,BL008,6212,-0.13,0.11,0.3,-0.33,0.08,-0.4,103
11/21/2020,BL008,6224,0,-0.07,0.04,-0.3,0.04,-0.23,103
12/16/2020,BL008,6397,0.32,0.54,-0.96,-0.12,0.06,-0.36,101.25
12/3/2020,BL008,6398,-0.04,-1.56,1.66,-0.14,-0.16,0.1,101.37
12/4/2020,BL008,6399,0.24,-0.66,0.21,-0.23,-0.14,-0.23,102.39
12/19/2020,BL008,7176,0.73,-0.59,-0.55,-0.08,-0.15,-0.01,100.95
