Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,325MSH
9/9/2019,BR040,53781,0.2,-0.2,-0.4,-0.1,-0.1,-0.3,100,0.01
9/12/2019,BR040,53782,0.4,0,-0.2,0.2,0,0,98,0.01
9/12/2019,BR040,54118,0.6,-0.1,0.3,1.2,-0.3,0.2,92,0.01
9/20/2019,BR040,54245,2.5,0.2,-0.2,1.4,0.1,0.4,91,0.01
10/15/2019,BR040,54246,0.5,0.2,1.3,1.8,-0.3,0.5,89,0.01
9/22/2019,BR040,54250,0.6,0.1,0,-0.2,0.2,0.3,102,0.01
10/3/2019,BR040,54670,0.5,0,0.1,0.3,0,0.1,98,0.01
10/2/2019,BR040,54729,-1.4,-0.4,-0.7,-0.4,-0.4,-1,102,0.01
10/2/2019,BR040,54730,-0.1,-0.2,-0.7,-0.2,-0.1,-0.6,101,0.01
10/3/2019,BR040,54731,-0.4,-0.1,-0.3,-0.6,0,-0.2,104,0.01
10/7/2019,BR040,54969,-0.6,-0.1,-0.2,-0.6,0.1,-0.2,105,0.03
10/7/2019,BR040,54970,-0.4,-0.1,-0.2,-0.3,-0.1,-0.4,101,0.01
10/10/2019,BR040,54971,-0.1,0.1,0,0.2,-0.1,-0.2,99,0.01
10/20/2019,BR040,55784,-0.3,-0.1,-0.2,0.4,-0.2,-0.4,97,0.02
10/24/2019,BR040,55785,0.1,-0.1,-0.6,-0.2,0,-0.4,100,0.01
10/28/2019,BR040,55786,0.1,0.1,-0.1,-0.5,0.2,0.1,103,0.01
10/24/2019,BR040,56121,-0.3,-0.1,-0.3,0.1,-0.2,-0.4,99,0.01
11/5/2019,BR040,56068,0.7,0.1,-0.1,-0.4,0.2,0.1,103,0.03
10/31/2019,BR040,56069,0,0,-0.2,0.1,-0.2,-0.2,99,0.04
11/5/2019,BR040,56070,0.7,0.1,0,-0.2,0.1,0.2,102,0.05
12/10/2019,BR040,56501,0.1,-0.1,-0.2,-0.4,0,-0.2,102,0.01
12/15/2019,BR040,56502,0,-0.1,-0.2,-0.3,0,-0.1,102,0.03
12/19/2019,BR040,56503,-0.1,-0.1,-0.1,-0.1,0,0,100,0.01
12/20/2019,BR040,56755,1.3,-0.1,-0.2,1.9,-0.3,0,88,0.01
12/21/2019,BR040,56756,-0.2,-0.1,-0.2,0.2,-0.2,-0.3,98,0.01
12/19/2019,BR040,56735,0.3,0.1,0,-0.2,0.2,0.1,101,0.01
12/21/2019,BR040,56878,0.2,-0.1,-0.3,0,-0.1,-0.2,100,0.07
12/30/2019,BR040,57222,-1.3,-0.4,-0.6,0.1,-0.5,-0.9,98,0.01
1/20/2020,BR040,57223,-0.2,-0.1,-0.2,0.2,-0.1,-0.3,98,0.01
4/21/2020,BR040,58035,0.3,-0.1,-0.3,0.6,-0.2,-0.1,96,0.11
5/26/2020,BR040,64315,-0.6,-0.2,-0.6,-0.6,-0.2,-0.7,103,0.01
5/26/2020,BR040,64318,-0.3,-0.3,-0.6,-0.2,-0.2,-0.5,101,0.01
5/31/2020,BR040,64319,0.2,-0.2,-1.2,0,-0.1,-0.7,99,0.01
6/17/2020,BR040,64320,0.4,0,-0.1,0,0.1,0,100,0.01
6/1/2020,BR040,64321,0.8,0.2,0.4,0.4,0.1,0.5,98,0.01
6/4/2020,BR040,64322,-1,-0.3,-0.7,-0.3,-0.3,-0.8,101,0.01
6/4/2020,BR040,64323,-0.2,-0.1,-0.2,0.2,-0.2,-0.3,98,0.01
6/9/2020,BR040,64324,-0.8,0,0,0.3,-0.1,-0.4,97,0.01
6/11/2020,BR040,64325,0.6,0,-0.1,0.6,-0.1,-0.1,96,0.01
6/11/2020,BR040,64326,-0.1,-0.1,-0.3,0.6,-0.3,-0.4,95,0.01
6/14/2020,BR040,64327,0.8,0,-0.2,0.8,-0.2,-0.2,95,0.01
6/14/2020,BR040,64328,-0.2,-0.3,-0.7,0.5,-0.4,-0.6,96,0.01
6/17/2020,BR040,65175,-0.8,-0.4,-0.3,1.6,-0.7,-0.7,89,0.01
6/24/2020,BR040,65176,-0.8,-0.1,-0.1,0.2,-0.3,-0.4,98,0.01
6/24/2020,BR040,65177,0.8,0.3,1.1,1.5,-0.1,0.8,91,0.01
6/24/2020,BR040,65178,-0.9,-0.1,-0.2,-0.2,-0.3,-0.4,101,0.01
6/27/2020,BR040,65179,0,0,-0.1,0.6,-0.2,-0.3,95,0.01
6/27/2020,BR040,65463,-0.7,0,-0.2,-0.3,0,-0.3,102,0.01
7/12/2020,BR040,65464,-1.9,-0.5,-0.6,-0.8,-0.6,-1.3,104,0.01
7/6/2020,BR040,65619,-0.3,-0.2,-0.2,0.4,-0.2,-0.3,97,0.01
7/6/2020,BR040,65620,-0.1,-0.1,-0.1,-0.2,0,-0.1,101,0.01
7/8/2020,BR040,65621,1.1,0.3,2.2,2.7,-0.4,1.2,85,0.01
7/12/2020,BR040,65660,0.4,-0.2,-0.3,0.3,-0.1,-0.2,97,0.01
