Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
1/21/2021,GR014,4811,-0.28,-0.2,-0.26,-0.14,-0.3,0.24,101.57
1/18/2021,GR014,5123,-4.89,3.83,-1.9,0.97,3.56,-3.19,83
1/18/2021,GR014,7720,-0.54,-0.96,-0.32,-0.6,-0.89,-0.19,108
1/19/2021,GR014,7721,-0.08,-2.59,-0.28,-0.01,-1.79,0.12,105.15
1/22/2021,GR014,7722,-0.58,0.37,-0.08,-0.16,0.05,0.05,101.15
1/22/2021,GR014,9676,-0.76,-0.82,-0.35,0.03,-0.35,-0.36,100.58
1/31/2021,GR014,9923,-0.61,-0.28,-0.12,-0.32,-0.27,-0.17,103.19
2/1/2021,GR014,9925,-1.04,-0.02,-0.47,0.34,0.7,-0.49,94.91
2/1/2021,GR014,9926,-0.57,-0.93,-0.37,-0.24,-0.6,-0.08,103.06
2/5/2021,GR014,10652,-0.83,-0.61,-0.45,0.26,0.16,-0.55,97.18
3/12/2021,GR014,10820,-1.14,-0.45,-0.5,0.81,0.61,-0.87,91.88
3/12/2021,GR014,10821,-0.66,-0.38,-0.36,0.4,0.31,-0.42,95.68
3/16/2021,GR014,12447,-0.83,-0.34,-0.36,0.43,0.57,-0.72,94.81
3/17/2021,GR014,13031,-0.39,-1.1,-0.34,0.6,0.09,-0.45,94.89
4/13/2021,GR014,14641,-0.89,-0.89,-0.36,0.15,0.23,-0.65,97.57
5/26/2021,GR014,16252,-0.72,3.1,-0.16,0.55,2.47,-0.42,89.66
5/27/2021,GR014,16641,-0.13,-0.74,0.43,0.72,0.08,0.02,94.57
5/28/2021,GR014,17584,-1.12,-0.61,-0.5,0.26,-0.05,-0.5,97.71
6/2/2021,GR014,18165,-1.15,-0.52,-0.5,0.4,0.25,-0.74,95
7/3/2021,GR014,18221,-0.77,0.02,-0.34,-0.01,0.24,-0.69,99.48
6/6/2021,GR014,18262,-0.61,-0.75,-0.1,0.44,0.05,-0.44,96.49
