Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,NiTi
3/18/2019,YL001,47689,1.7,-0.1,-1.4,0.3,0.1,0,99,0.3
3/19/2019,YL001,47690,2.2,-0.6,-1.2,0.4,0,0,98,0.3
4/2/2019,YL001,48005,0.5,-0.1,0.3,0.2,0.1,-0.6,94,0.3
4/15/2019,YL001,48681,0.6,0,0.8,0.1,0.1,-0.5,95,0.3
4/15/2019,YL001,48682,0.8,-0.2,1.7,0.3,0,-0.1,96,0.3
4/15/2019,YL001,48683,0.7,0.2,0.8,0.2,0.1,-0.4,95,0.3
4/5/2019,YL001,48869,2.8,-0.7,-2.4,0.4,-0.2,0.4,103,0.3
5/9/2019,YL001,49373,-0.2,0.2,3,0.1,0.1,-0.4,94,0.3
5/10/2019,YL001,49374,-0.4,0.7,1.4,-0.1,0.3,-0.3,97,0.3
6/9/2019,YL001,49959,1.5,-0.4,-2.9,-0.1,0,0.1,98,0.3
6/10/2019,YL001,49960,0.5,-0.2,-0.2,0.2,0,-0.2,97,0.3
6/16/2019,YL001,49961,1.7,-0.5,-0.8,0,0,0.3,104,0.3
6/30/2019,YL001,51534,-0.8,1,0,-0.2,0.6,-0.8,94,0.3
7/2/2019,YL001,51535,0.1,0.6,0,0,0.2,-0.9,94,0.3
7/18/2019,YL001,51967,0,0.4,2,0.1,0.1,0,97,0.3
7/18/2019,YL001,51968,-0.6,0.5,3.6,0.2,0.2,-0.4,92,0.3
7/18/2019,YL001,51969,0.1,0.3,2.1,0.1,0.1,0.1,98,0.3
8/2/2019,YL001,52464,1.1,-0.4,-1.2,0.2,0,0,100,0.3
8/2/2019,YL001,52465,0.8,-0.1,-0.5,0,0.1,-0.3,99,0.3
8/4/2019,YL001,52466,-0.5,0.4,2.6,0.1,0.2,-0.6,93,0.3
7/19/2019,YL001,52763,0,0.6,2.3,0.1,0.1,0,97,0.3
7/19/2019,YL001,52764,0.2,0.5,2.8,0.1,0.1,-0.1,93,0.3
8/14/2019,YL001,53271,0.8,-0.2,0.9,0.2,0,-0.1,98,0.3
8/14/2019,YL001,53272,0.5,-0.2,1.3,0.1,-0.1,-0.3,97,0.3
8/19/2019,YL001,53273,-1.2,1,2.6,0,0.4,-0.9,91,0.3
9/5/2019,YL001,53274,-0.6,0.9,2.4,0.2,0.3,-0.4,93,0.3
9/2/2019,YL001,53924,1.2,-0.4,-1.3,0.2,0,-0.2,98,0.3
9/3/2019,YL001,53925,1.5,-0.5,-1.9,0.2,-0.1,0,101,0.3
9/3/2019,YL001,53926,1.2,-0.3,-1.6,0.1,-0.1,0,101,0.3
9/4/2019,YL001,53927,2,-0.3,-1.6,0.2,0,0,101,0.3
9/30/2019,YL001,54834,-0.3,0.5,-2,0.1,0.4,-0.9,93,0.3
9/30/2019,YL001,54385,0.2,-0.1,-0.6,0.4,0.2,-1,89,0.3
11/5/2019,YL001,55005,0.6,-0.3,-0.8,0.1,0.1,-1,93,0.3
11/5/2019,YL001,55006,-0.1,-0.1,-0.3,0.1,0.2,-1,92,0.3
11/11/2019,YL001,55219,0.6,-0.2,0.4,0.1,0,-0.5,96,0.3
11/7/2019,YL001,55220,-0.1,0.1,0.7,0.2,0.3,-1.1,89,0.3
11/7/2019,YL001,55221,1.4,-0.4,-0.7,0.3,0,0,98,0.3
11/10/2019,YL001,55452,-1.2,0.6,0.5,-0.1,0.5,-1.6,90,0.3
12/4/2019,YL001,55453,-1.1,0.3,1.8,0,0.5,-1.4,89,0.3
11/11/2019,YL001,55454,0.6,-0.2,-0.4,0.2,0.2,-1,92,0.3
11/30/2019,YL001,57388,0.2,-0.1,0.4,-0.1,0.1,-0.6,97,0.3
12/4/2019,YL001,57389,0.4,0.1,2.5,-0.1,0.1,-0.6,97,0.3
12/4/2019,YL001,57667,-0.4,0.8,2.5,0.2,0.3,-0.7,90,0.3
12/9/2019,YL001,57668,-0.6,0.7,3.4,-0.1,0.3,-1,92,0.3
1/13/2020,YL001,57669,1.4,-0.3,-3,0.1,0,0,102,0.3
1/13/2020,YL001,58536,0.7,-0.2,-0.5,0.2,0,-0.2,98,0.3
3/13/2020,YL001,61045,-1.1,0.2,0.3,-0.2,0.2,-0.5,97,0.3
3/13/2020,YL001,61046,-0.4,-0.1,-1.5,-0.1,0.1,-0.6,97,0.3
3/13/2020,YL001,61047,-1.3,0.3,0.7,-0.1,0.2,-0.4,97,0.3
3/14/2020,YL001,61048,-1.5,-1,-2.8,-0.5,-0.2,-0.9,101,0.3
