Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
1/4/2020,YL056,58830,0,0.2,0.2,-0.1,0.1,0.1,101
1/4/2020,YL056,58832,0.1,0.1,0.1,0,0.1,0,100
1/4/2020,YL056,58831,0,0.2,0.1,0,0.1,0.1,100
1/5/2020,YL056,58833,0.2,0,-0.1,0.1,0,0.2,100
1/6/2020,YL056,58915,0.1,0.1,0.1,0,0,0.1,100
1/15/2020,YL056,59344,0.4,-0.2,0,0,0,0,100
1/15/2020,YL056,59346,0.2,0.1,0.3,0,0.1,0,100
1/16/2020,YL056,59345,0.1,0.1,0.1,0,0.1,0,100
1/16/2020,YL056,60573,0.2,0,0,0,0,-0.1,100
1/16/2020,YL056,60854,0.4,-0.1,-0.1,0,0,0.1,100
1/17/2020,YL056,60892,0.3,-0.1,-0.1,0.1,0.1,0.3,100
2/20/2020,YL056,60900,0.3,-0.1,-0.1,0,0,0.1,100
2/21/2020,YL056,60855,0.4,-0.3,-0.2,0.2,-0.1,0,99
2/21/2020,YL056,60775,0.4,-0.1,0,0.1,0,0.2,100
2/21/2020,YL056,60901,0.1,0,0,0.2,0,-0.1,98
2/21/2020,YL056,60891,0.3,0,0,0.2,0,0.2,99
2/22/2020,YL056,60574,0.2,0.1,-0.1,0.1,0,0,99
2/22/2020,YL056,60890,0.4,-0.1,0,0.1,0,0.2,100
2/26/2020,YL056,61357,0,0.2,0.3,0.1,0,0,100
2/26/2020,YL056,61057,0.2,0,0.2,0,0.1,0.1,100
2/27/2020,YL056,61058,0.4,-0.1,-0.2,0,-0.1,0.2,101
2/27/2020,YL056,61059,0,0,-0.2,-0.1,0,0.2,102
2/27/2020,YL056,61060,-0.1,0.3,0.2,0,0.1,0,100
3/13/2020,YL056,61748,0.5,-0.2,0,0.1,0,0.1,100
3/13/2020,YL056,62050,0.1,0,0,0,0,-0.3,99
3/14/2020,YL056,62051,-0.2,0.2,-0.2,0,0.1,-0.3,99
3/14/2020,YL056,62052,-0.4,0.5,0.2,-0.1,0.2,-0.4,99
3/27/2020,YL056,62381,0.5,-0.4,-0.5,0.1,-0.1,0,99
3/27/2020,YL056,62382,0.7,-0.4,-0.5,0.2,-0.1,0.2,99
3/27/2020,YL056,62383,0.5,-0.3,-0.4,0.2,-0.1,0.2,100
3/27/2020,YL056,62384,0.7,-0.4,-0.7,0.2,0,0.2,99
4/1/2020,YL056,62758,0.4,-0.1,0,0.1,-0.1,0.2,100
4/1/2020,YL056,62759,0.2,-0.2,-0.3,0.1,-0.1,0,100
4/2/2020,YL056,62760,0.1,0.2,0,0,0,0,100
4/17/2020,YL056,63257,0.3,-0.1,-0.2,0,-0.1,-0.1,100
4/17/2020,YL056,63258,0.3,0,-0.6,0,0.1,0,100
4/18/2020,YL056,63259,0.3,-0.1,0,-0.1,0,0,100
4/20/2020,YL056,63260,-0.1,0.1,0.1,-0.1,0,0.1,101
4/20/2020,YL056,62361,0.1,0,0,0.2,-0.1,0.1,99
4/20/2020,YL056,63262,0.2,-0.1,-0.2,0,-0.1,-0.1,100
4/25/2020,YL056,63500,0,0.1,0.1,0,0,-0.1,100
4/29/2020,YL056,63809,0.1,-0.2,-0.2,-0.1,0,-0.1,101
4/30/2020,YL056,63810,0.2,-0.1,-0.2,0,0.1,-0.1,99
5/1/2020,YL056,63811,0,0,-0.2,0,0,0,100
5/5/2020,YL056,63812,0.1,0,0.1,0,0,0.2,101
5/7/2020,YL056,64029,0.8,-0.3,0,0.2,-0.1,0.1,99
5/7/2020,YL056,64030,0.3,0,0.1,0.1,0,0,99
5/8/2020,YL056,64031,0.3,-0.2,-0.1,0,0.1,0.1,100
5/8/2020,YL056,64032,0.4,-0.1,-0.1,0.1,0,0,100
5/24/2020,YL056,64541,0.1,-0.1,-0.1,-0.1,0.1,0,101
5/25/2020,YL056,64542,0.4,-0.3,-0.2,0.1,-0.1,-0.1,99
5/25/2020,YL056,64543,0.3,-0.2,-0.1,0.1,0,0,99
5/25/2020,YL056,64544,0.5,-0.3,-0.1,0.1,0,0.2,100
5/27/2020,YL056,64545,0.2,0,-0.2,0,0,0.1,100
6/11/2020,YL056,65090,0.7,-0.4,-0.2,0.2,0.1,0.3,99
6/10/2020,YL056,65203,0.2,0,0,0,0.1,0.1,101
6/10/2020,YL056,65204,0.2,-0.1,-0.1,0.2,0.3,0.2,99
6/4/2020,YL056,64673,0.2,-0.1,-0.1,0.1,0,-0.2,98
6/12/2020,YL056,65316,0.1,0.1,0.2,0,0,0.1,100
6/12/2020,YL056,65317,0.3,-0.1,0,0.1,0,0,99
6/24/2020,YL056,65608,0.4,-0.1,0.1,0.1,0,0.1,99
6/25/2020,YL056,65609,0.2,0,0.1,0,0.1,0,100
7/4/2020,YL056,65980,0.6,0,-0.2,-0.2,0.2,0.3,103
7/4/2020,YL056,65981,0.5,0,0,-0.1,0.1,0.3,102
7/5/2020,YL056,66047,0.4,0.2,-0.3,-0.1,0.2,0.4,102
7/5/2020,YL056,66048,0.9,-0.4,-0.7,-0.1,0,0.1,102
7/17/2020,YL056,66196,0.5,-0.3,0,0.1,0,0.2,100
7/17/2020,YL056,66197,0.5,-0.3,-0.2,0,0.1,0.1,101
7/17/2020,YL056,66198,0.3,-0.2,0.1,0.1,-0.1,0.1,100
7/19/2020,YL056,66397,0,0.1,-0.2,-0.1,0,0.1,101
7/19/2020,YL056,66398,0.7,-0.4,-0.1,0,0,0.2,101
7/20/2020,YL056,66399,0.3,0,0.1,0,0.1,0.3,101
7/21/2020,YL056,66400,0,0.1,-0.2,-0.1,0.1,-0.1,100
7/25/2020,YL056,66600,0,0.1,-0.1,-0.1,0.1,-0.2,100
7/27/2020,YL056,66601,-0.1,0.2,0,0,0.1,0,100
7/25/2020,YL056,66602,0.4,-0.1,-0.2,0.1,0,-0.2,99
7/25/2020,YL056,66603,0.4,-0.1,-0.2,0.1,0.1,-0.1,99
7/27/2020,YL056,66581,0.4,-0.2,0.2,0,-0.1,0.3,101
8/3/2020,YL056,66749,-0.1,0.3,-0.3,-0.2,0.1,-0.1,101
8/3/2020,YL056,66750,0.1,0.1,0,0,0,0.3,101
8/3/2020,YL056,66751,0,0.1,-0.3,0,0,0.2,101
8/3/2020,YL056,66752,0,0.2,-0.4,-0.2,0.2,0.2,102
8/20/2020,YL056,67023,0.4,-0.1,0,0,0.1,0.3,101
8/7/2020,YL056,67024,0.2,-0.2,-0.4,-0.2,0.1,0.1,102
8/10/2020,YL056,67025,0.5,-0.2,-0.2,0,0,0.2,101
8/10/2020,YL056,67026,0.2,0,0,0,0,0.2,101
8/10/2020,YL056,67027,0.5,0.1,0.6,-0.1,0.1,0.1,102
8/10/2020,YL056,67028,0.6,0.1,0.4,0,0.2,0.3,101
8/16/2020,YL056,67176,0.4,-0.1,0,0.2,0.1,0.4,100
8/16/2020,YL056,67177,0.3,-0.3,-0.2,0.1,0,0.3,100
8/17/2020,YL056,67178,0.5,-0.2,-0.2,0.2,-0.1,0.2,99
8/17/2020,YL056,67179,0.2,0.1,0,0.2,-0.1,0,99
8/20/2020,YL056,67180,0.3,0,0.1,0,0,0,100
8/19/2020,YL056,67181,0.2,0,-0.1,-0.1,0.1,0.1,101
8/28/2020,YL056,67516,0.2,0,-0.1,0,0.1,0.3,101
8/31/2020,YL056,67515,0.2,0,-0.2,0,0,0.1,101
8/31/2020,YL056,67681,-0.1,0.3,-0.1,-0.1,0.1,-0.2,100
9/3/2020,YL056,67682,-0.3,0.4,0,-0.2,0.3,-0.1,101
8/31/2020,YL056,67683,0.2,0,-0.4,-0.1,0.2,-0.2,100
9/1/2020,YL056,67684,-0.2,0.5,0.1,-0.1,0.2,-0.1,100
9/3/2020,YL056,67685,0.6,-0.2,0,-0.1,0.1,0.2,102
9/2/2020,YL056,67686,0.2,0.2,0.1,0,0.1,0.1,101
9/8/2020,YL056,67756,-0.3,0.5,0.1,0,0.3,-0.1,100
9/8/2020,YL056,67757,-0.2,0.4,-0.2,0,0.4,-0.2,99
9/8/2020,YL056,67758,0.6,-0.1,-0.2,0,0.3,0.1,100
9/8/2020,YL056,67759,0.4,0.2,-0.3,0.1,0.4,0.1,100
9/9/2020,YL056,67850,0,0.4,-0.1,0.1,0.3,-0.3,98
9/10/2020,YL056,67971,0.4,-0.1,-0.4,0.2,0.4,0.5,101
9/10/2020,YL056,67972,-0.4,0.4,-0.1,-0.1,0.1,-0.2,100
9/11/2020,YL056,67973,-0.4,0.3,0.1,0,0.2,-0.1,100
9/12/2020,YL056,67974,-0.6,0.6,0,-0.2,0.3,-0.4,100
9/13/2020,YL056,68162,-0.4,0.5,0.1,-0.2,0.2,-0.3,100
9/16/2020,YL056,68199,0.6,-0.1,0,-0.1,0.2,0.4,102
9/17/2020,YL056,68200,0.2,-0.1,-0.2,0,0,0.1,101
9/17/2020,YL056,68201,0.4,-0.2,-0.2,0,0.1,0.1,101
9/18/2020,YL056,68202,0.3,-0.2,-0.2,-0.1,0.1,0.1,101
9/18/2020,YL056,68203,0.3,0,-0.1,0.4,-0.2,-0.6,95
9/21/2020,YL056,68357,0.4,-0.2,-0.2,0,0,0.2,101
9/23/2020,YL056,68358,0.4,-0.2,-0.1,0,0.1,0.4,102
9/23/2020,YL056,68359,0.4,-0.2,0,-0.1,0.1,0.4,102
9/23/2020,YL056,68360,0.4,-0.3,-0.1,-0.1,0,0.2,101
9/26/2020,YL056,68361,0.5,-0.3,0,0,0,0.2,101
9/24/2020,YL056,68457,0.4,-0.4,0.2,0.2,-0.1,0.4,100
9/23/2020,YL056,68458,0,0.2,0,0,0.1,-0.2,99
9/24/2020,YL056,68459,0.1,0,-0.2,0.1,0,0,99
9/29/2020,YL056,68460,-0.1,0.2,-0.1,0,0,-0.3,99
9/28/2020,YL056,68511,0.4,-0.4,-0.4,0,0,-0.2,99
9/28/2020,YL056,68512,0.4,-0.1,-0.2,0.1,0,-0.2,99
9/29/2020,YL056,68513,-0.1,0.3,0,0,0.1,0.2,101
9/27/2020,YL056,68514,0.6,-0.4,-0.4,-0.1,-0.1,-0.4,99
