Date,Product,Lot,Equip,MDL,MDA,MDB,TDL,TDA,TDB,STR
6/3/2021,YL1,725,GR084,-0.78,0.62,-0.58,0,0.1,-1.92,93
6/6/2021,YL1,726,GR084,-1.19,1.02,-0.54,-0.04,0.22,-2.08,92.7
6/11/2021,YL1,1300,GR084,-1.35,1.24,-0.47,0.07,0.13,-2.34,90.8
6/8/2021,YL1,1301,GR084,-1.32,1.32,-0.11,0.08,0.43,-2.07,92.1
6/13/2021,YL1,1959,GR084,0.2,-0.2,0.2,0.1,-0.1,0.3,102
6/20/2021,YL1,1960,GR084,-1.15,1.12,-0.18,0.1,0.45,-2.18,91.1
6/22/2021,YL1,1961,GR084,0.2,-0.2,0.2,0.1,-0.1,0.3,102
7/25/2021,YL1,3973,GR084,-1.24,1.04,0.22,-0.17,0.23,-2.05,94.5
8/2/2021,YL1,3974,GR084,-1.07,1.15,-0.04,-0.19,0.31,-1.72,95.1
8/5/2021,YL1,3975,GR084,-0.04,-0.04,-0.74,0,-0.02,-1.01,96.4
