BatchID,IngrID,IngrLot,Cons
000033457,ingred_1,000029995,1165
000033457,ingred_1,000030029,680
000033457,ingred_2,1089237,18
000033457,ingred_3,000009501,526
000033457,ingred_4,216-300125-000116,130.7267
000033458,ingred_1,000027430,188
000033458,ingred_1,000029679,315
000033458,ingred_1,000029995,1360
000033458,ingred_2,1089237,18
000033458,ingred_3,000009501,324
000033458,ingred_3,000024680,150
000033458,ingred_4,216-300125-000116,130.7267
000033583,ingred_1,000029680,427
000033583,ingred_1,000030029,1360
000033583,ingred_4,T01KJ12,0
000033583,ingred_3,000019175,562
000033583,ingred_4,216-300125-000116,130.7267
000033674,ingred_1,000029679,680
000033674,ingred_1,000029757,487
000033674,ingred_1,000030029,660
000033674,ingred_2,1089237,18
000033674,ingred_3,000009901,300
000033674,ingred_4,216-300125-000116,130.7267
000033675,ingred_1,000029756,1790
000033675,ingred_3,000009901,300
000033675,ingred_4,T01KJ12,148.8667
000033676,ingred_1,000029679,680
000033676,ingred_1,000029756,680
000033676,ingred_1,000030028,430
000033676,ingred_2,1089335,18
000033676,ingred_3,000009901,300
000033676,ingred_4,216-300125-000124,130.7267
000034031,ingred_1,000029680,1360
000034031,ingred_1,000029757,480
000034031,ingred_2,1089335,18
000034031,ingred_3,000008923,300
000034031,ingred_4,216300125000125,130.7267
000034034,ingred_1,000029679,680
000034034,ingred_1,000029757,393
000034034,ingred_3,000008923,300
000034034,ingred_4,T01KJ12,104.04
000034034,ingred_4,T01LG25,44.82
000034280,ingred_1,000030028,1840
000034280,ingred_4,T01KJ12,18.14
000034280,ingred_3,000013184,200
000034280,ingred_4,216300125000125,130.7267
000034281,ingred_1,000033887,721
000034281,ingred_1,000033898,1156
000034281,ingred_4,T01KJ12,18.14
000034281,ingred_3,000013184,200
000034281,ingred_4,216300125000119,131
000034282,ingred_1,000033887,680
000034282,ingred_1,000033898,1160
000034282,ingred_4,T01KJ12,18.14
000034282,ingred_3,000013184,200
000034282,ingred_4,216300125000119,288.2
000034895,ingred_1,000030028,207
000034895,ingred_1,000033898,200
