Date,Product,Lot,Process,Equip,Equip Step,Mass dL*,Mass da*,Mass db*,Mass dE*,Tint dL*,Tint da*,Tint db*,Tint dE*,% Str,Mass SL CIE K,Mass SA CIE K,Mass SB CIE K,Tint SL CIE K,Tint SA CIE K,Tint SB CIE K
6/2/2021,YL1,725,P2,GR084,84,-2.33,2.1,-0.27,3.15,0,0.33,-3.39,3.41,87.6,69.24,20.1,57.7,86.08,7.55,30.04
6/2/2021,YL1,725,P2,GR084,144,-1.52,1.38,-0.35,2.08,0.04,0.34,-2.79,2.82,89.4,69.04,20.26,57.48,85.95,7.65,30.33
6/3/2021,YL1,725,P2,GR084,184,-1.61,1.41,-0.54,2.2,-0.04,0.24,-2.35,2.36,91.7,69.29,20.06,57.69,86.1,7.56,30.01
6/3/2021,YL1,725,P2,GR084,204,-0.78,0.62,-0.58,1.15,0,0.1,-1.92,1.92,93,68.89,20.36,57.3,85.94,7.65,30.28
6/5/2021,YL1,726,P2,GR084,82,-2.68,2.51,-0.06,3.67,0.07,0.46,-3.78,3.81,85.7,69.37,20.28,57.7,85.84,7.68,30.26
6/6/2021,YL1,726,P2,GR084,132,-1.81,1.63,-0.37,2.47,0.01,0.35,-2.89,2.91,89.3,69.02,20.25,57.56,85.9,7.59,30.17
6/6/2021,YL1,726,P2,GR084,172,-1.19,1.02,-0.54,1.66,-0.04,0.22,-2.08,2.09,92.7,69.09,20.21,57.41,86,7.65,30.3
6/10/2021,YL1,1300,P2,GR084,77,-2.22,2.15,0.13,3.1,0.01,0.25,-3.46,3.47,87.3,69.27,20.12,57.7,85.91,7.61,30.17
6/10/2021,YL1,1300,P2,GR084,133,-1.49,1.5,-0.14,2.12,0.06,0.33,-2.79,2.81,89.2,69.07,20.2,57.6,86.02,7.6,30.16
6/10/2021,YL1,1300,P2,GR084,158,-1.59,1.37,-0.54,2.16,0.09,0.24,-2.54,2.55,89.9,69.28,20.09,57.63,85.99,7.66,30.26
