Color,Limit,MDL,MDA,MDB,TDL,TDA,TDB,STR
YL1,Upper Limit,0.5,0.5,0.5,0.5,0.5,0.5,103
YL1,Lower Limit,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,97
BK94,Upper Limit,0.3,0.3,0.3,0.6,0.6,0.6,105
BK94,Lower Limit,-0.3,-0.3,-0.3,-0.6,-0.6,-0.6,95
BK41,Upper Limit,0.1,0.3,0.4,0.5,0.3,0.4,108
BK41,Lower Limit,-0.5,-0.3,-0.2,-0.7,-0.3,-0.2,96
BK65,Upper Limit,0.4,0.4,0.4,0.4,0.4,0.4,103
BK65,Lower Limit,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,97
BL27,Upper Limit,0.4,0.4,0.4,0.4,0.4,0.4,103
BL27,Lower Limit,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,97
BL88,Upper Limit,1,1.5,0.5,0.4,0.4,0.4,103
BL88,Lower Limit,-1,-0.5,-1.5,-0.4,-0.4,-0.4,97
BL91,Upper Limit,1.5,1.5,1.5,0.4,0.3,0.4,103
BL91,Lower Limit,-1.5,-1.5,-1.5,-0.4,-0.3,-0.4,97
